omsid,image_url,width,depth,height,canopy,style,taxonomy
203483796,https://images.homedepot-static.com/productImages/1379b62c-a157-4664-bbc5-569a02180f27/svn/polished-chrome-finish-smoke-crystal-worldwide-lighting-chandeliers-w83100c16-sm-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
203820147,https://images.homedepot-static.com/productImages/a97bac7d-d370-4623-9cd3-5e250d1bb8b4/svn/polished-chrome-finish-white-crystal-worldwide-lighting-chandeliers-w83100c16-wh-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
204101715,https://images.homedepot-static.com/productImages/55dd8908-21b3-49e7-bd6c-ad87816b6a64/svn/red-rustic-yosemite-home-decor-chandeliers-scfp2079-6-6rr-64_1000.jpg,21.7,21.7,38.6,4.70,Glam,Lighting>Chandeliers
204101715,https://images.homedepot-static.com/productImages/4e1c1330-dd11-43f2-aab4-b8b111980057/svn/red-rustic-yosemite-home-decor-chandeliers-scfp2079-6-6rr-64_1000.jpg,21.7,21.7,38.6,4.70,Glam,Lighting>Chandeliers
204101715,https://images.homedepot-static.com/productImages/a0139382-142a-4dba-9166-34ee6c2cbc34/svn/red-rustic-yosemite-home-decor-chandeliers-scfp2079-6-6rr-64_1000.jpg,21.7,21.7,38.6,4.70,Glam,Lighting>Chandeliers
204101715,https://images.homedepot-static.com/productImages/c48ed2ed-bc53-4953-96f0-52175fcfaebc/svn/red-rustic-yosemite-home-decor-chandeliers-scfp2079-6-6rr-64_1000.jpg,21.7,21.7,38.6,4.70,Glam,Lighting>Chandeliers
204148389,https://images.homedepot-static.com/productImages/ae451532-a189-4589-85cc-cd22d8b9d9fc/svn/heirloom-bronze-sea-gull-lighting-chandeliers-65438-782-64_1000.jpg,15.75,15.75,16,6.63,Farmhouse,Lighting>Chandeliers
204148390,https://images.homedepot-static.com/productImages/cc9f8b09-ea39-4b44-b397-b40cd8f28657/svn/brushed-nickel-sea-gull-lighting-chandeliers-65438-962-64_1000.jpg,15.75,15.75,16,6.63,Farmhouse,Lighting>Chandeliers
204148394,https://images.homedepot-static.com/productImages/666cc44b-901e-4c13-985e-262ea91f0518/svn/brushed-nickel-sea-gull-lighting-chandeliers-65439-962-64_1000.jpg,20,20,14.25,6.63,Farmhouse,Lighting>Chandeliers
204780503,https://images.homedepot-static.com/productImages/506b8755-a755-4e98-90a1-10007455985e/svn/cranberry-red-worldwide-lighting-chandeliers-w83100c16-cy-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
204780503,https://images.homedepot-static.com/productImages/5d863e41-2c6d-457a-9e28-d37ad8295ec1/svn/cranberry-red-worldwide-lighting-chandeliers-w83100c16-cy-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
204780504,https://images.homedepot-static.com/productImages/8aa67683-48b0-4493-af66-6203b2eb5fce/svn/coral-red-worldwide-lighting-chandeliers-w83100c16-cr-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
205168157,https://images.homedepot-static.com/productImages/90c837fa-4473-4c15-b5d2-8f09554aa533/svn/kolorado-varaluz-chandeliers-165m01ko-64_1000.jpg,7,7,8,6,Modern,Lighting>Chandeliers
205168157,https://images.homedepot-static.com/productImages/86ec2351-53b6-453e-84b0-7cb287fc1126/svn/kolorado-varaluz-chandeliers-165m01ko-64_1000.jpg,7,7,8,6,Modern,Lighting>Chandeliers
205321387,https://images.homedepot-static.com/productImages/48d66d4d-f5b4-4f72-bf3a-49634b549c90/svn/dark-antique-brass-matte-black-feiss-chandeliers-p1283dab-mb-64_1000.jpg,13,13,13.125,1.25,Industrial,Lighting>Chandeliers
205321387,https://images.homedepot-static.com/productImages/4bbd56a1-5ccc-4f29-9ea5-5a0b2b928ede/svn/dark-antique-brass-matte-black-feiss-chandeliers-p1283dab-mb-64_1000.jpg,13,13,13.125,1.25,Industrial,Lighting>Chandeliers
